player,team,pos,pos_rank,points,mine
Dawson Knox,BUF,TE,41,3.4,FALSE
Troy Franklin,DEN,WR,103,3.4,FALSE
Ted Hurst,TB,WR,104,3.4,FALSE
Sione Vaki,DET,RB,67,3.3,FALSE
Darnell Washington,PIT,TE,42,3.3,FALSE
Kalif Raymond,CHI,WR,105,3.3,FALSE
Olamide Zaccheaus,ATL,WR,106,3.3,FALSE
Tez Johnson,TB,WR,107,3.3,FALSE
Chris Bell,MIA,WR,108,3.3,FALSE
KaVontae Turpin,DAL,WR,109,3.2,FALSE
Keon Coleman,BUF,WR,110,3.2,FALSE
Bryce Lance,NO,WR,111,3.2,FALSE
Noah Fant,NO,TE,43,3.1,FALSE
Isaiah Williams,NYJ,WR,112,3.1,FALSE
Luke McCaffrey,WAS,WR,113,3.1,FALSE
Omar Cooper Jr.,NYJ,WR,114,3.1,FALSE
Elic Ayomanor,TEN,WR,115,3,FALSE
Isaiah Bond,CLE,WR,116,3,FALSE
Cole Kmet,CHI,TE,44,2.9,FALSE
Ashton Dulin,IND,WR,117,2.9,FALSE
Kendre Miller,NO,RB,68,2.8,FALSE
Devin Singletary,NYG,RB,69,2.7,FALSE
Corey Kiner,NE,RB,70,2.7,FALSE
Tyler Higbee,LAR,TE,45,2.7,FALSE
Casey Washington,CAR,WR,118,2.7,FALSE
Seth McGowan,IND,RB,71,2.6,FALSE
Mo Alie-Cox,IND,TE,46,2.6,FALSE
Tutu Atwell,LAR,WR,119,2.6,FALSE
Marvin Mims Jr.,DEN,WR,120,2.6,FALSE
Tyrone Tracy Jr.,NYG,RB,72,2.5,FALSE
Brashard Smith,KC,RB,73,2.5,FALSE
Marlin Klein,HOU,TE,47,2.5,FALSE
Devontez Walker,BAL,WR,121,2.5,FALSE
Jonah Coleman,DEN,RB,74,2.4,FALSE
Tommy Tremble,CAR,TE,48,2.4,FALSE
Noah Gray,KC,TE,49,2.4,FALSE
Daniel Bellinger,TEN,TE,50,2.4,FALSE
Elijah Sarratt,BAL,WR,122,2.4,FALSE
Sean Tucker,TB,RB,75,2.3,FALSE
Dylan Laube,LV,RB,76,2.3,FALSE
Josh Oliver,MIN,TE,51,2.3,FALSE
Erick All,CIN,TE,52,2.3,FALSE
Mitchell Evans,CAR,TE,53,2.3,FALSE
Kyle Williams,NE,WR,123,2.3,FALSE
Ameer Abdullah,JAC,RB,77,2.2,FALSE
Ray Davis,BUF,RB,78,2.2,FALSE
Austin Hooper,ATL,TE,54,2.2,FALSE
Adam Trautman,DEN,TE,55,2.2,FALSE
Charlie Woerner,ATL,TE,56,2.2,FALSE
Ja'Tavion Sanders,CAR,TE,57,2.2,FALSE
Nate Boerkircher,JAC,TE,58,2.2,FALSE
Treylon Burks,WAS,WR,124,2.2,FALSE
Jordan Whittington,LAR,WR,125,2.2,FALSE
Isaiah Davis,NYJ,RB,79,2.1,FALSE
Eli Raridon,NE,TE,59,2.1,FALSE
Hollywood Brown,PHI,WR,126,2.1,FALSE
Tory Horton,SEA,WR,127,2.1,FALSE
Chimere Dike,TEN,WR,128,2.1,FALSE
Malik Benson,LV,WR,129,2.1,FALSE
Elijah Arroyo,SEA,TE,60,2,FALSE
Kevin Coleman Jr.,MIA,WR,130,2,FALSE
Demond Claiborne,MIN,RB,80,1.9,FALSE
John Bates,WAS,TE,61,1.9,FALSE
Elijah Higgins,ARI,TE,62,1.9,FALSE
Foster Moreau,HOU,TE,63,1.8,FALSE
Luke Schoonmaker,DAL,TE,64,1.8,FALSE
Max Klare,LAR,TE,65,1.8,FALSE
Will Kacmarek,MIA,TE,66,1.8,FALSE
Ollie Gordon II,MIA,RB,81,1.7,FALSE
LeQuint Allen,JAC,RB,82,1.7,FALSE
Eli Heidenreich,PIT,RB,83,1.7,FALSE
Durham Smythe,BAL,TE,67,1.7,FALSE
Odell Beckham Jr.,NYG,WR,131,1.7,FALSE
A.J. Dillon,CAR,RB,84,1.6,FALSE
Jonnu Smith,GB,TE,68,1.6,FALSE
Drew Sample,CIN,TE,69,1.6,FALSE
Davis Allen,LAR,TE,70,1.6,FALSE
Blake Whiteheart,CLE,TE,71,1.6,FALSE
Dyami Brown,WAS,WR,132,1.6,FALSE
Dareke Young,LV,WR,133,1.6,FALSE
Roman Wilson,PIT,WR,134,1.6,FALSE
Brenen Thompson,LAC,WR,135,1.6,FALSE
Shedeur Sanders,CLE,QB,37,1.5,FALSE
Jordan James,SF,RB,85,1.5,FALSE
Jackson Hawes,BUF,TE,72,1.5,FALSE
Bauer Sharp,TB,TE,73,1.5,FALSE
Dallen Bentley,DEN,TE,74,1.5,FALSE
Jimmy Horn Jr.,CAR,WR,136,1.5,FALSE
Colbie Young,CIN,WR,137,1.5,FALSE
Brevyn Spann-Ford,DAL,TE,75,1.4,FALSE
Tylan Wallace,CLE,WR,138,1.4,FALSE
Jalen Brooks,ARI,WR,139,1.4,FALSE
Jaylin Lane,WAS,WR,140,1.4,FALSE
Konata Mumpfield,LAR,WR,141,1.4,FALSE
Efton Chism III,NE,WR,142,1.4,FALSE
Brennan Presley,LA,WR,143,1.4,FALSE
Ty Simpson,LAR,QB,38,1.3,FALSE
Kaleb Johnson,GB,RB,86,1.3,FALSE
Raheim Sanders,CLE,RB,87,1.3,FALSE
Jeremy Ruckert,NYJ,TE,76,1.3,FALSE
Audric Estime,NO,RB,88,1.2,FALSE
Kaytron Allen,WAS,RB,89,1.2,FALSE
JuJu Smith-Schuster,KC,WR,144,1.2,FALSE
Xavier Smith,LAR,WR,145,1.2,FALSE
Jalen Royals,KCC,WR,146,1.2,FALSE
Stetson Bennett,LAR,QB,39,1.1,FALSE
Ronnie Rivers,LA,RB,90,1.1,FALSE
James Mitchell,CAR,TE,77,1.1,FALSE
Payne Durham,TB,TE,78,1.1,FALSE
Josh Whyle,GB,TE,79,1.1,FALSE
Ben Sinnott,WAS,TE,80,1.1,FALSE
Cyrus Allen,KCC,WR,147,1.1,FALSE
Tanner McKee,PHI,QB,40,1,FALSE
Hunter Luepke,DAL,RB,91,1,FALSE
Jake Tonges,SF,TE,81,1,FALSE
Nate Adkins,DEN,TE,82,1,FALSE
Cade Stover,HOU,TE,83,1,FALSE
Marcus Mariota,WAS,QB,41,0.9,FALSE
Brady Cook,MIA,QB,42,0.9,FALSE
Cole Payton,PHI,QB,43,0.9,FALSE
Tyler Badie,DEN,RB,92,0.9,FALSE
Rasheen Ali,BAL,RB,93,0.9,FALSE
Andrew Ogletree,IND,TE,84,0.9,FALSE
Malachi Corley,CLE,WR,148,0.9,FALSE
Ryan Miller,MIA,WR,149,0.9,FALSE
Barion Brown,NO,WR,150,0.9,FALSE
Jalon Daniels,TB,QB,44,0.8,FALSE
Will Shipley,PHI,RB,94,0.8,FALSE
Tahj Brooks,CIN,RB,95,0.8,FALSE
Chris Manhertz,NYG,TE,85,0.8,FALSE
Hunter Long,ARI,TE,86,0.8,FALSE
John FitzPatrick,GB,TE,87,0.8,FALSE
Simi Fehoko,ARI,WR,151,0.8,FALSE
Brycen Tremayne,CAR,WR,152,0.8,FALSE
Mac Jones,SF,QB,45,0.7,FALSE
Roschon Johnson,CHI,RB,96,0.7,FALSE
Jarquez Hunter,MIA,RB,97,0.7,FALSE
Nicholas Singleton,TEN,RB,98,0.7,FALSE
Ben Sims,MIA,TE,88,0.7,FALSE
Sam Roush,CHI,TE,89,0.7,FALSE
Oscar Delp,NO,TE,90,0.7,FALSE
Josh Cuevas,BAL,TE,91,0.7,FALSE
Skyler Bell,BUF,WR,153,0.7,FALSE
Kenny Pickett,CAR,QB,46,0.6,FALSE
Laquon Treadwell,IND,WR,154,0.6,FALSE
Tai Felton,MIN,WR,155,0.6,FALSE
Andy Dalton,PHI,QB,47,0.5,FALSE
Tyrod Taylor,GB,QB,48,0.5,FALSE
Jameis Winston,NYG,QB,49,0.5,FALSE
Joshua Dobbs,DET,QB,50,0.5,FALSE
Mason Rudolph,PIT,QB,51,0.5,FALSE
Jarrett Stidham,DEN,QB,52,0.5,FALSE
Tyler Huntley,BAL,QB,53,0.5,FALSE
Justin Fields,KC,QB,54,0.5,FALSE
Davis Mills,HOU,QB,55,0.5,FALSE
Sam Howell,DAL,QB,56,0.5,FALSE
Spencer Rattler,NO,QB,57,0.5,FALSE
Quinn Ewers,JAC,QB,58,0.5,FALSE
Joe Flacco,CIN,QB,59,0.5,FALSE
Alec Ingold,LAC,RB,99,0.5,FALSE
Reggie Gilliam,NE,RB,100,0.5,FALSE
Terrell Jennings,NE,RB,101,0.5,FALSE
Kylen Granson,TEN,TE,92,0.5,FALSE
Stone Smartt,PHI,TE,93,0.5,FALSE
Jonathan Mingo,DAL,WR,156,0.5,FALSE
Kyle Allen,BUF,QB,60,0.4,FALSE
Anthony Richardson,IND,QB,61,0.4,FALSE
J.J. McCarthy,MIN,QB,62,0.4,FALSE
British Brooks,HOU,RB,102,0.4,FALSE
DJ Giddens,IND,RB,103,0.4,TRUE
Josh Williams,TB,RB,104,0.4,FALSE
Johnny Mundt,PHI,TE,94,0.4,FALSE
Tim Patrick,NYJ,WR,157,0.4,FALSE
Skyy Moore,GB,WR,158,0.4,FALSE
Chris Blair,ATL,WR,159,0.4,FALSE
Arian Smith,NYJ,WR,160,0.4,FALSE
KeAndre Lambert-Smith,LAC,WR,161,0.4,FALSE
Zavion Thomas,CHI,WR,162,0.4,FALSE
Tyson Bagent,CHI,QB,63,0.3,FALSE
Velus Jones,SEA,RB,105,0.3,FALSE
Riley Nowakowski,PIT,RB,106,0.3,FALSE
Eric Saubert,SEA,TE,95,0.3,FALSE
Luke Farrell,SF,TE,96,0.3,FALSE
Matthew Hibner,BAL,TE,97,0.3,FALSE
Devin Duvernay,ARI,WR,163,0.3,FALSE
Ben Skowronek,PIT,WR,164,0.3,FALSE
Malik Heath,GB,WR,165,0.3,FALSE
Nikko Remigio,KC,WR,166,0.3,FALSE
Jared Wayne,HOU,WR,167,0.3,FALSE
Dohnte Meyers,CIN,WR,168,0.3,FALSE
Tommy DeVito,NE,QB,64,0.2,FALSE
Josh Jacobs,GB,RB,107,0.2,FALSE
Quintin Morris,JAC,TE,98,0.2,FALSE
Tay Martin,DET,WR,169,0.2,FALSE
Derius Davis,LAC,WR,170,0.2,FALSE
Patrick Ricard,NYG,RB,108,0.1,FALSE
Adam Prentice,DEN,RB,109,0.1,FALSE
Jerome Ford,WSH,RB,110,0.1,FALSE
Bam Knight,ARI,RB,111,0.1,FALSE
Julius Chestnut,TEN,RB,112,0.1,FALSE
Robert Tonyan,PIT,TE,99,0.1,FALSE
Jared Wiley,KC,TE,100,0.1,FALSE
Lil'Jordan Humphrey,DEN,WR,171,0.1,FALSE
Mitchell Trubisky,TEN,QB,65,0,FALSE
Gardner Minshew,ARI,QB,66,0,FALSE
Trey Lance,LAC,QB,67,0,FALSE
Carson Beck,ARI,QB,68,0,FALSE
Cade Klubnik,NYJ,QB,69,0,FALSE
Jeremy McNichols,WSH,RB,113,0,FALSE
James Conner,ARI,RB,114,0,FALSE
Travis Homer,PIT,RB,115,0,FALSE
Kene Nwangwu,NYJ,RB,116,0,FALSE
Isiah Pacheco,DET,RB,117,0,FALSE
Israel Abanikanda,DAL,RB,118,0,FALSE
Zach Charbonnet,SEA,RB,119,0,FALSE
Eric Gray,NYG,RB,120,0,FALSE
Brady Russell,SEA,RB,121,0,FALSE
Trey Benson,ARI,RB,122,0,FALSE
Kendall Milton,CIN,RB,123,0,FALSE
Isaac Guerendo,SF,RB,124,0,FALSE
Devin Neal,NO,RB,125,0,FALSE
Trevor Etienne,CAR,RB,126,0,FALSE
Robbie Ouzts,SEA,RB,127,0,FALSE
Amar Johnson,LAC,RB,128,0,FALSE
Adam Randall,BAL,RB,129,0,FALSE
Tanner Hudson,CIN,TE,101,0,FALSE
Feleipe Franks,CAR,TE,102,0,FALSE
Grant Calcaterra,PHI,TE,103,0,FALSE
Tanner Conner,NYG,TE,104,0,FALSE
Justin Shorter,LV,TE,105,0,FALSE
Luke Musgrave,GB,TE,106,0,FALSE
Cameron Latu,PHI,TE,107,0,FALSE
Will Mallory,IND,TE,108,0,FALSE
Julian Hill,NE,TE,109,0,FALSE
Tip Reiman,ARI,TE,110,0,FALSE
David Martin-Robinson,TEN,TE,111,0,FALSE
Jack Westover,WSH,TE,112,0,FALSE
Cam Grandy,CIN,TE,113,0,FALSE
Thomas Fidone II,NYG,TE,114,0,FALSE
Moliki Matavao,NO,TE,115,0,FALSE
Ben Yurosek,MIN,TE,116,0,FALSE
Carter Runyon,LV,TE,117,0,FALSE
Nick Kallerup,SEA,TE,118,0,FALSE
Keleki Latu,BUF,TE,119,0,FALSE
Eli Stowers,PHI,TE,120,0,FALSE
David Moore,CAR,WR,172,0,FALSE
Christian Kirk,SF,WR,173,0,FALSE
David Sills V,TB,WR,174,0,FALSE
Darius Slayton,NYG,WR,175,0,FALSE
Gunner Olszewski,NYG,WR,176,0,FALSE
Elijah Moore,PHI,WR,177,0,FALSE
Kevin Austin Jr.,NO,WR,178,0,FALSE
Calvin Austin III,NYG,WR,179,0,FALSE
Bo Melton,GB,WR,180,0,FALSE
Trey Palmer,NO,WR,181,0,FALSE
Tank Dell,HOU,WR,182,0,FALSE
Jake Bobo,SEA,WR,183,0,FALSE
Xavier Gipson,NYG,WR,184,0,FALSE
Tyrell Shavers,BUF,WR,185,0,FALSE
Ricky Pearsall,SF,WR,186,0,FALSE
Xavier Weaver,ARI,WR,187,0,FALSE
Tahj Washington,MIA,WR,188,0,FALSE
Mason Tipton,NO,WR,189,0,FALSE
Kameron Johnson,TB,WR,190,0,FALSE
Xavier Restrepo,TEN,WR,191,0,FALSE
Ricky White III,SEA,WR,192,0,FALSE
Dont'e Thornton Jr.,LV,WR,193,0,FALSE
Ja'Corey Brooks,WSH,WR,194,0,FALSE
Savion Williams,GB,WR,195,0,FALSE
Jordan Watkins,SF,WR,196,0,FALSE
Coleman Owen,IND,WR,197,0,FALSE
Beaux Collins,NYG,WR,198,0,FALSE
Jordan Moore,CIN,WR,199,0,FALSE
Dalevon Campbell,LAC,WR,200,0,FALSE
Darius Cooper,PHI,WR,201,0,FALSE
Jackson Meeks,DET,WR,202,0,FALSE
Myles Price,MIN,WR,203,0,FALSE
Ke'Shawn Williams,CIN,WR,204,0,FALSE
Jordyn Tyson,NO,WR,205,0,FALSE
Chris Brazzell,CAR,WR,206,0,FALSE
Kaden Wetjen,PIT,WR,207,0,FALSE
Chandler Brayboy,JAC,WR,208,0,FALSE
